ROUND_SHOT_ID,ROUND_HOLE_ID,HOLE_NO,PLAYED_DT_TIME,COURSE_NAME,SHORT_DESCR,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN,END_TERRAIN,SHOT_DIST,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST
45062486,9760781,13,8/18/2017 4:40:16  PM ,The Apawamis Club,Dr,F,T,F,331.9620056,141.2619934,tee,rough,190.7050018,F,,F,F,T,44.55739975
35519583,7618757,12,5/26/2017 9:23:48  PM ,Innis Arden GC,3w,F,F,T,395.303009,162.6230011,tee,rough,232.8289948,F,,F,T,F,26.20540047
56763533,12368182,15,3/1/2018 5:07:31  PM ,Seminole GC,Dr,F,T,F,427.6879883,224.451004,tee,rough,206.1549988,F,,F,F,T,69.498703
19758565,1478234,6,10/30/2014 5:26:03  PM ,Longshore Club Park,Dr,F,F,T,375.6849976,158.5200043,tee,rough,222.0269928,F,,F,T,F,30.1977005
5763048,3531989,17,7/16/2015 8:53:00  PM ,Garden City GC,Dr,T,F,F,446.4719849,228.5160065,tee,fairway,218.8549957,F,,F,T,F,8.6311903
23291659,3294397,9,11/2/2014 7:49:04  PM ,The Tuxedo Club,Dr,F,T,F,387.57901,252.3280029,tee,rough,149.8609924,T,T,F,F,T,24.8470993
12721176,386486,16,4/21/2016 5:30:00  PM ,The Ridgewood CC - East/West,Dr,F,T,F,352.6990051,187.3339996,tee,rough,174.1499939,F,,F,F,T,53.7737999
63386056,13837082,10,5/9/2018 3:37:23  PM ,Shinnecock Hills GC,3w,F,F,T,375.3089905,183.2910004,tee,rough,205.6569977,F,,F,T,F,34.33420181
16197778,2502855,6,7/2/2016 11:14:01  AM ,Cabot Links,Dr,T,F,F,348.2319946,109.8789978,tee,fairway,271.769989,F,,F,T,F,8.97220993
30810500,6570497,8,3/30/2017 6:59:31  PM ,Oak Hills Park GC,Dr,F,T,F,431.0740051,222.2550049,tee,rough,211.3190002,F,,F,F,T,28.92609978
27572346,5260660,15,1/4/2017 7:34:11  PM ,Westchester CC - South,Dr,F,T,F,397.2090149,203.5529938,tee,rough,194.3179932,F,T,F,F,T,28.94989967
49026045,10638810,5,9/28/2017 2:13:18  PM ,Streamsong Resort - Red,3w,F,T,F,306.3970032,114.9160004,tee,rough,193.4409943,F,,F,F,T,22.77129936
23325075,4022498,8,11/29/2014 7:39:05  AM ,Royal Palms Golf & Country Club,Dr,F,T,F,353.1069946,150.2129974,tee,rough,205.6809998,F,,F,F,T,30.17440033
29838307,6348978,1,3/10/2017 10:45:32  PM ,Stanford University GC,4h,F,F,T,210.0160065,186.121994,rough,rough,25.39010048,F,,F,T,F,14.19400024
52134277,11333148,7,11/15/2017 5:14:22  PM ,Jupiter Hills Club - Hills,Dr,T,F,F,308.7260132,156.6609955,tee,fairway,221.6190033,F,,F,F,T,21.12969971
23034810,5646499,11,5/12/2015 12:33:05  PM ,Oak Hills Park GC,4h,T,F,F,260.4930115,140.4259949,tee,fairway,189.5690002,F,,F,F,T,9.612950325
58402014,12737816,1,3/26/2018 6:29:04  PM ,Wee Burn CC,Dr,T,F,F,371.9129944,149.647995,tee,fairway,226.8690033,F,,F,T,F,4.246769905
9371126,1737580,17,6/16/2015 9:36:03  PM ,International GC Inc - Pines Course,Dr,F,F,T,367.9410095,147.397995,tee,rough,232.4940033,F,,F,T,F,18.38229942
44392414,9588155,3,8/11/2017 8:09:29  PM ,The Stanwich Club,3w,T,F,F,322.0870056,88.20639801,tee,fairway,234.0870056,F,,F,T,F,9.108830452
3139573,2603741,13,12/10/2015 7:51:05  PM ,Tamarack CC,Dr,T,F,F,448.3529968,212.7369995,tee,fairway,235.6609955,F,,F,T,F,2.697930098
16098171,3520991,10,8/31/2016 6:07:02  PM ,Sunningdale CC,Dr,F,T,F,384.3429871,144.4019928,tee,rough,239.9960022,F,,F,F,T,21.64559937
5773431,437396,3,4/25/2015 6:58:02  PM ,Doral GC,Dr,F,T,F,368.5920105,170.0420074,tee,rough,198.7630005,F,,F,F,T,17.65909958
23297141,1199886,1,10/15/2014 4:09:04  PM ,Old Oaks CC,Dr,F,F,T,351.7130127,129.4989929,tee,rough,232.0209961,F,,F,T,F,16.14010048
44405879,9586094,12,8/12/2017 7:52:53  PM ,Quaker Ridge GC,3h,F,F,T,174.1779938,55.68579865,rough,sand,118.4919968,F,,F,T,F,12.45740032
56718056,12358860,8,2/28/2018 8:00:53  PM ,Seagate Country Club,Dr,F,T,F,342.9869995,113.5589981,tee,rough,229.6080017,F,,F,F,T,16.43219948
5857074,1552988,8,5/15/2015 4:37:00  PM ,Olde Stonewall GC - Olde Stonewall,Dr,F,F,T,327.821991,110.8809967,tee,rough,218.8190002,F,,F,T,F,20.63400078
20076547,5219069,12,7/26/2014 7:37:04  PM ,Totteridge GC,Dr,F,T,F,433.0870056,222.9720001,tee,rough,217.8130035,F,,F,F,T,22.00230026
46974089,10179349,12,8/30/2017 9:32:18  PM ,The Santaluz Club,Dr,T,F,F,368.9410095,134.2129974,tee,fairway,247.3939972,F,,F,T,F,8.757530212
21173082,5161794,8,8/31/2014 1:38:03  PM ,Olde Stonewall GC - Olde Stonewall,5i,T,F,F,286.6929932,136.4259949,tee,fairway,157.0189972,F,,F,F,T,0.295681
45454707,9845749,8,8/22/2017 2:29:22  PM ,National Golf Links of America,Dr,T,F,F,350.2309875,125.9570007,tee,fairway,224.2749939,F,,F,F,T,12.60900021
9308173,2471937,3,7/29/2015 6:19:02  PM ,Great River GC,Dr,F,F,T,359.1629944,36.854599,tee,rough,326.1759949,F,,F,T,F,12.89700031
55655590,12122656,5,2/8/2018 9:23:15  PM ,Torrey Pines GC - North,Dr,T,F,F,448.3540039,210.9669952,tee,fairway,246.9290009,F,,F,F,T,3.072410107
56708408,12352534,1,2/27/2018 3:46:27  PM ,Milbrook Club,Dr,F,T,F,431.0679932,115.5130005,tee,rough,323.9190063,T,,F,F,T,19.34269905
