ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML
8849028,rough,41009197,F,T,F,T,-0.504566014,195.8639984,84.04850006,2,2,112.2549973,1.689829946,0,F,,F,F,T,8.991620064,975860-15-2,7/14/2017 5:45:09  AM ,,7/15/2017 5:35:11  AM ,,U
10941692,rough,50442096,F,F,T,,-0.00190293,385.1799927,158.1790009,1,2,250.4700012,34.91609955,0,F,T,F,T,F,48.60599899,1208992-18-1,10/16/2017 6:31:08  AM ,,10/17/2017 5:50:15  AM ,,U
10952632,sand,50442644,F,F,T,,-0.406275004,363.4200134,168.8249969,1,4,200.0460052,3.969399929,0,F,,F,T,F,16.33410072,1208972-8-1,10/16/2017 6:31:08  AM ,,10/17/2017 5:50:15  AM ,,U
10373494,rough,47828755,F,T,F,,-0.267127991,375.1380005,192.5789948,1,2,198.1230011,23.02779961,0,F,T,F,F,T,35.32170105,1146081-10-1,9/16/2017 5:51:26  AM ,,9/17/2017 5:36:00  AM ,,U
9586093,rough,44424412,F,F,T,,-0.962940991,328.9830017,269.9869995,1,2,59.44609833,69.60469818,0,F,T,F,T,F,14.7972002,1059500-11-1,8/13/2017 5:25:17  AM ,,8/20/2017 10:57:33  AM ,,U
8180054,rough,38065125,F,T,F,T,-0.28639099,271.3729858,178.3939972,2,2,96.9265976,12.04520035,0,F,,F,F,T,23.57369995,899090-5-2,6/18/2017 9:26:09  AM ,,6/19/2017 10:10:43  AM ,,U
6977878,rough,32644089,F,F,T,,-0.34958899,320.9989929,190.3399963,1,2,132.3619995,19.92650032,0,F,T,F,T,F,30.68260002,752259-2-1,4/24/2017 3:49:09  AM ,,4/25/2017 3:39:10  AM ,,U
7169576,rough,33480982,F,T,F,T,0.189181998,297.480011,97.40840149,2,2,202.7610016,1.778249979,0,F,,F,F,T,14.76029968,774081-4-3,5/4/2017 6:26:22  AM ,,5/5/2017 10:10:35  AM ,,U
6944858,rough,32532617,F,F,T,,-0.441078991,309.2569885,195.1340027,1,2,114.9629974,28.40169907,0,F,T,F,T,F,31.2602005,751109-2-1,4/23/2017 3:46:03  AM ,,4/24/2017 3:49:09  AM ,,U
8691534,rough,40301590,F,F,T,T,-0.736433029,207.598999,181.3569946,2,2,28.78129959,18.59379959,0,F,,F,T,F,30.30260086,959076-12-2,7/8/2017 11:55:29  AM ,,7/9/2017 5:29:07  AM ,,U
8135484,rough,37857578,F,F,T,,-0.564217985,442.5979919,288.1860046,1,2,191.0720062,12.59710026,0,F,T,F,T,F,28.02260017,895452-17-1,6/17/2017 10:59:49  AM ,,6/18/2017 9:26:09  AM ,,U
9619736,rough,44580592,F,F,T,,-0.104661003,503.5469971,275.3710022,1,2,247.7489929,0.738556981,0,F,T,F,T,F,14.1257,1062047-5-1,8/14/2017 5:20:21  AM ,,8/20/2017 10:57:33  AM ,,U
8836141,sand,41023097,F,F,T,,0.073476903,276.3900146,27.75169945,1,4,248.848999,16.41699982,0,F,,F,T,F,22.32060051,975860-12-1,7/14/2017 5:45:09  AM ,,7/15/2017 5:35:11  AM ,,U
7172094,rough,33520817,F,F,T,,-0.058990799,327.0190125,138.201004,1,2,200.9429932,8.234970093,0,F,,F,T,F,22.17359924,774081-16-1,5/4/2017 6:26:22  AM ,,5/5/2017 10:10:35  AM ,,U
11333146,fairway,52145508,T,F,F,,-0.245646998,457.8760071,264.7390137,1,5,193.177002,7.373040199,0,F,,F,F,T,3.380379915,1251463-4-1,11/16/2017 8:50:49  AM ,,11/17/2017 6:51:44  AM ,,U
9756132,rough,44975675,F,T,F,T,-0.458606005,200.5099945,101.5130005,2,2,99.02179718,12.14290047,0,F,,F,F,T,26.21890068,1078476-13-2,8/20/2017 10:57:33  AM ,,8/21/2017 5:37:16  AM ,,U
6500149,rough,30460935,F,T,F,,-0.240567997,481.5969849,273.5859985,1,2,211.3079987,4.041460037,0,F,T,F,F,T,23.27960014,692605-7-1,3/25/2017 5:31:54  AM ,,3/26/2017 5:40:50  AM ,,U
10341842,fairway,47679281,T,F,F,T,-0.464628011,217.3650055,155.75,2,5,62.19919968,2.524919987,0,F,,F,F,T,16.03300095,1142725-1-2,9/14/2017 6:37:51  AM ,,9/15/2017 5:57:17  AM ,,U
