ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole,,sqr x,sqr y
11017203,fairway,50703155,T,F,F,,-0.045351598,461.9330139,242.5890045,1,5,166.6820068,7.833610058,0,F,,F,T,F,56.21030045,1216368-18-1,10/21/2017 6:21,,10/22/2017 5:55,,U,KAI ,"Apr. 25th, 2018",8,,3159.597877,1758.901061
10385190,rough,47884351,F,T,F,,-1.013640046,275.4159851,40.65990067,1,2,187.1710052,14.99919987,1,F,,F,F,T,21.87400055,1146081-13-1,9/16/2017 5:51,,9/17/2017 5:36,,U,DAVID ,"May. 21th, 2018",9,,478.4719001,460.1134832
7440741,rough,34666114,F,F,T,,-0.130974993,381.2090149,178.8760071,1,2,118.6679993,7.064280033,0,F,T,F,T,F,6.065939903,806106-11-1,5/18/2017 9:04,,5/19/2017 8:14,,U,AARON ,"Apr. 24th, 2018",10,,36.79562691,8091.58933
8145370,rough,37855681,F,F,T,,-0.288293988,370.1530151,198.6119995,1,2,157.6390076,26.45540047,0,F,T,F,T,F,5.641679764,896856-2-1,6/17/2017 10:59,,6/19/2017 10:10,,U,ALEX ,"Apr. 5th, 2018",11,,31.82855056,2599.190184
6900209,fairway,32305693,T,F,F,T,-0.970607996,304.1010132,176.5050049,2,5,200.2590027,9.252070427,1,T,,F,T,F,20.86520004,744167-18-2,4/20/2017 3:24,,4/21/2017 3:33,,U,CHARLES ,"Apr. 21th, 2018",12,,435.3565727,69.92736751
7081973,rough,33109213,F,F,T,T,-0.704955995,148.5500031,64.48059845,2,2,175.2610016,7.989409924,0,F,,F,T,F,40.90370178,763411-8-2,4/29/2017 3:29,,4/30/2017 3:36,,U,AIDEN ,"May. 24th, 2018",13,,1673.112819,1112.906922
9037744,rough,41909930,F,F,T,T,-0.872493029,138.6710052,117.6689987,2,2,202.8200073,2.050709963,0,F,,F,T,F,25.44659996,998989-8-2,7/22/2017 5:47,,8/3/2017 7:38,,U,LEON ,"Apr. 25th, 2018",14,,647.5294495,33.65454702
8144398,rough,37837314,F,T,F,,-0.076117203,359.1440125,161.352005,1,2,223.0850067,42.62450027,0,F,T,F,F,T,5.713560104,895452-2-1,6/17/2017 10:59,,6/18/2017 9:26,,U,MOHAMMAD ,"Apr. 21th, 2018",9,,32.64476906,209.1999334
9545269,rough,44191858,F,F,T,T,-0.850377023,132.8580017,96.20200348,2,2,195.4049988,41.6570015,0,F,,F,T,F,23.41900063,1052492-8-2,8/11/2017 5:18,,8/20/2017 10:57,,U,LUCA ,"Apr. 24th, 2018",1,,548.4495905,174.6695923
9198192,rough,42577489,F,T,F,,-0.131662995,360.0589905,173.3849945,1,2,231.8809967,0.792962015,0,F,T,F,F,T,8.722350121,1014050-3-1,7/28/2017 6:17,,8/3/2017 8:46,,U,TOMMY ,"Apr. 25th, 2018",2,,76.07939163,541.0152947
