ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole
8168062,rough,37934752,F,F,T,T,-0.631771982,217.375,169.3500061,2,2,48.52050018,11.44120026,0,F,,F,T,F,28.69750023,899084-11-2,6/18/2017 9:26,,6/19/2017 10:10,,U,ETHAN ,"Apr. 25th, 2018",9
7431770,rough,34728373,F,F,T,,-0.00190293,391.4020081,162.7949982,1,2,232.2700043,15.34819984,0,F,T,F,T,F,33.48509979,806110-14-1,5/18/2017 9:04,,5/19/2017 8:14,,U,GEORGE ,"Apr. 21th, 2018",10
7773463,rough,36220196,F,F,T,T,-0.798278987,120.5070038,60.25260162,2,2,60.84009933,21.72109985,0,F,,F,T,F,31.27359962,850672-8-2,6/1/2017 5:19,,6/2/2017 5:46,,U,RILEY ,"Apr. 24th, 2018",11
6900209,rough,32275102,F,F,T,,-0.457204998,466.0150146,304.1010132,1,2,169.2810059,23.42410088,0,F,T,F,T,F,56.91379929,744167-18-1,4/20/2017 3:24,,4/21/2017 3:33,,U,DANIEL ,"Apr. 25th, 2018",12
6909510,fairway,32284909,T,F,F,T,-0.630562007,177.2259979,126.7799988,2,5,51.45959854,8.480649948,0,T,,F,T,F,15.39449978,744167-2-2,4/20/2017 3:24,,4/21/2017 3:33,,U,SAMUEL ,"Apr. 21th, 2018",13
7926472,rough,36884381,F,F,T,T,-0.75336498,124.0469971,57.72909927,2,2,68.59380341,0.412396014,0,F,,F,T,F,11.48159981,871418-4-2,6/8/2017 5:25,,6/9/2017 5:27,,U,NOAH ,"Apr. 24th, 2018",14
6812643,rough,31883880,F,T,F,,-1.181720018,416.0010071,212.6759949,1,2,208.6340027,11.69610023,1,F,,F,F,T,31.37779999,732944-14-1,4/15/2017 3:42,,4/16/2017 3:38,,U,OSCAR ,"May. 25th, 2018",9
8127398,rough,37839559,F,F,T,T,-0.55470401,192.0160065,112.1500015,2,2,81.19730377,24.25760078,0,F,,F,T,F,41.87990189,896858-2-2,6/17/2017 10:59,,6/18/2017 9:26,,U,JOSEPH ,"Apr. 21th, 2018",1
7920146,fairway,36941168,T,F,F,T,-1.545789957,173.7259979,124.7210007,2,5,54.34939957,0.377992988,1,F,,F,F,T,6.148280144,871418-17-2,6/8/2017 5:25,,6/9/2017 5:27,,U,MOHAMMED ,"Apr. 24th, 2018",2
6500149,fairway,30452232,T,F,F,T,-1.131629944,273.5859985,180.8930054,2,5,99.07279968,13.07320023,1,F,,F,T,F,1.66068995,692605-7-2,3/25/2017 5:31,,3/26/2017 5:40,,U,MAX ,"Apr. 25th, 2018",9
8136437,rough,37818113,F,F,T,T,-1.684090018,144.871994,70.97049713,2,2,81.86560059,37.4341011,1,F,,F,T,F,47.02270126,896858-8-2,6/17/2017 10:59,,6/18/2017 9:26,,U,DYLAN ,"May. 21th, 2018",16
9020276,rough,41836363,F,T,F,,-1.214409947,401.3450012,204.5429993,1,2,201.0749969,5.085460186,1,F,,F,F,T,24.75889969,995395-14-1,7/21/2017 7:59,,7/22/2017 5:47,,U,MUHAMMAD ,"Apr. 24th, 2018",17
7023626,rough,32915267,F,F,T,,-0.0115567,394.0979919,167.9570007,1,2,228.8699951,11.83720016,0,F,T,F,T,F,30.07010078,758960-14-1,4/27/2017 3:24,,4/28/2017 3:26,,U,ALEXANDER ,"Apr. 5th, 2018",18
